ردیف,نوع کاربری,بار گسترده کیلونیوتن بر مترمربع,غیرقابل کاهش
1,بام‌ها,
1-1,بام معمولی تخت، شیبدار و قوسی,1.5
2-1,بام با پوشش سبک,0.5
3-1,بام باغ (بام دارای باغچه و گلخانه),5
4-1,بام از نوع پوشش پارچه‌ای با سازه اسکلتی,0.25,1
5-1,بام با امکان تجمع و ازدحام,بسته به نوع کاربری
6-1,قاب نگهدارنده فضابند,0.25,1
2,سالن‌ها و محل‌های تجمع و ازدحام در انواع ساختمان‌ها,
1-2,سالن‌های عمومی و محل‌های تجمع دارای صندلی‌های ثابت (چسبیده به کف),3
2-2,سالن‌های عمومی و محل‌های تجمع فاقد صندلی‌های ثابت,5
3-2,سالن غذاخوری و رستوران,5
4-2,سینما و تئاتر,5
5-2,صحنه سینما و تئاتر,7.5
6-2,سالن اجرای مراسم گروهی، اجرای سرود و ...,7.5
7-2,شبستان مساجد و تکایا,6
8-2,سالن انتظار و ملاقات,5
9-2,پایانه مسافربری,6
3,راهروها، راه‌پله‌ها و بالکن‌ها در انواع ساختمان‌ها,
1-3,راهرو در معرض تجمع و ازدحام واقع در طبقه همکف (ورودی),5
2-3,راهرو در معرض تجمع و ازدحام واقع در سایر طبقات,5
3-3,راه‌پله و راهرو منتهی به درب‌های خروجی,5
4-3,راه‌پله اضطراری,5
5-3,راهرو دسترسی برای امور تعمیر و نگهداری تأسیسات,2
4-3,بالکن,1.5 برابر بار زنده اتاق‌های مجاور متصل به آن (لازم نیست بیش از 5 کیلونیوتن بر مترمربع در نظر گرفته شود)
4,ساختمان‌ها و مجتمع‌های مسکونی,
1-4,اتاق‌ها و سایر فضاهای خصوصی شامل (سرویس‌ها، انبار، راهروها),2
5,هتل‌ها، فروشگاه‌ها,
1-5,اتاق‌ها و فضاهای خصوصی هتل‌ها، مهمانسراها و خوابگاه‌ها,2
2-5,فروشگاه کوچک و خرده‌فروشی - طبقه همکف (ورودی),4.5
3-5,فروشگاه کوچک و خرده‌فروشی - کف سایر طبقات,4.5
4-5,فروشگاه عمده‌فروشی - طبقات,4.5
6,ساختمان‌های آموزشی، فرهنگی و کتابخانه‌ها,
1-6,کلاس درس، آزمایشگاه‌های سبک,4.5
2-6,اتاق مطالعه,4.5
3-6,مخزن کتاب یا اتاق بایگانی با قفسه‌های ثابت,4.5
4-6,مخزن کتاب یا محل بایگانی با قفسه‌های متحرک,4.5
5-6,راهروهای طبقه همکف (ورودی),4.5
6-6,راهروهای سایر طبقات,4.5
7,ساختمان‌های اداری,
1-7,دفتر کار معمولی,9
2-7,سالن انتظار و ملاقات - راهرو طبقه همکف (ورودی),9
3-7,راهرو سایر طبقات,9
8,ساختمان‌های صنعتی,
1-8,کارگاه‌های صنعتی سبک,9
2-8,کارگاه‌های صنعتی متوسط,11
3-8,کارگاه‌های صنعتی سنگین,12
9,ورزشگاه‌ها و تأسیسات تفریحی,
1-9,سالن ورزشی سبک مانند تنیس روی میز، بیلیارد و ...,3.5
2-9,سالن ورزشی و تمرینات بدنی,5
3-9,ورزشگاه دارای صندلی ثابت,5
4-9,ورزشگاه فاقد صندلی ثابت یا دارای نیمکت,5
10,بیمارستان‌ها و مراکز درمانی,
1-10,اتاق بیمار,4.5
2-10,اتاق عمل، آزمایشگاه‌ها,4.5
3-10,راهرو طبقه همکف,4.5
4-10,راهرو سایر طبقات,4.5
11,محل‌های عبور و پارک خودروها,
1-11,محل عبور و پارک خودروهای با وزن حداکثر تا 40 کیلونیوتن,3
2-11,محل عبور و پارک خودروهای با وزن 40 تا 90 کیلونیوتن,6
3-11,معابر و پخش‌هایی از محوطه با امکان عبور کامیون,_
12,سایر موارد,
1-12,آشپزخانه صنعتی و رخت‌شوی‌خانه‌ها,6
2-12,اتاق آسانسور,3.6
3-12,اتاق هواساز، پمپ و نظایر آن,5
4-12,انبار سبک در فضای داخل سقف کاذب,1
5-12,انبارها,5 به ازای هر متر ارتفاع، حداقل 15
6-12,سردخانه‌ها,9
7-12,کف کاذب برای اتاق‌های کامپیوتر,5
8-12,کف کاذب در فضاهای اداری,2.5
9-12,محل فرود بالگرد,3
10-12,موتورخانه,8.5
